ACC,PDB
A0A075TRK9,8BXL
A0A097PTA8,2MN5
A0A0A0V662,5FZV
A0A0A0VBR5,5FZW
A0A0A0VBX4,4X9Z
A0A0A7EQR3,6RTV
A0A0A7EQR3,6RU1
A0A0A7EQR3,6RU2
A0A0A7EQR3,6RV7
A0A0A7EQR3,6RV8
A0A0A7EQR3,6RV9
A0A0B4J1U3,6MID
A0A0B4J1V1,6APD
A0A0B4J2H0,5WKZ
A0A0B5AC95,5JYQ
A0A0B5AC95,6VEQ
A0A0B5L781,8XTE
A0A0B5L781,8XTF
A0A0B5L781,8XTG
A0A0B5LB55,7DBI
A0A0B5LB55,7DBL
A0A0B7P9G0,8CT8
A0A0C4DH41,7CZW
A0A0C4DH41,7D03
A0A0D1DWQ2,6FPF
A0A0D1DWQ2,6FPG
A0A0D1DWQ2,6TI2
A0A0D1DWZ5,7PZE
A0A0D1DWZ5,8S6N
A0A0D1DWZ5,8S6O
A0A0D1E015,8S6U
A0A0E3SVE7,6PPC
A0A0F7YZQ7,8F04
A0A0G2KTI4,6NPH
A0A0G2KTI4,6NPJ
A0A0G2KTI4,6NPK
A0A0G2KTI4,6NPL
A0A0M3KKW3,4QNN
A0A0N7CSQ4,2MVA
A0A0P0XII1,7VS7
A0A0R4I951,2MVT
A0A0R4IMY7,6DRJ
A0A0R4IMY7,6DRK
A0A0R4IMY7,6PKV
A0A0R4IMY7,6PKW
A0A0R4IMY7,6PKX
A0A0R4IMY7,7AOV
A0A0U2UYC4,9H3I
A0A0U2UYC4,9H4E
A0A0U2UYC4,9H4G
A0A0U2UYC4,9H4H
A0A140H546,6BXR
A0A140H546,6BXW
A0A161CFW5,8AP9
A0A166U5H3,5XOH
A0A193AUK9,6BXS
A0A193AUK9,6BXT
A0A1B1FHP3,8B27
A0A1L8F5J9,3QEK
A0A1L8F5J9,3QEL
A0A1L8F5J9,3QEM
A0A1L8F5J9,4TLL
A0A1L8F5J9,4TLM
A0A1L8F5J9,5B3J
A0A1L8F5J9,5EWJ
A0A1L8F5J9,5EWL
A0A1L8F5J9,5EWM
A0A1L8F5J9,5IOU
A0A1L8F5J9,5IOV
A0A1L8F5J9,5IPQ
A0A1L8F5J9,5IPR
A0A1L8F5J9,5IPS
A0A1L8F5J9,5IPT
